Wall time,Step,Value
1524221094.370049,121,1.2907350063323975
1524221208.179135,181,1.1327824592590332
1524221542.699023,361,1.060758113861084
1524221691.412692,441,1.2432880401611328
1524221802.831844,501,1.1470940113067627
1524221987.265654,601,1.1647497415542603
1524222317.767441,781,1.1838438510894775
1524222972.965866,1141,1.0589427947998047
1524223009.733877,1161,1.0781176090240479
1524223082.578752,1201,1.160118818283081
1524223482.760124,1421,1.0726715326309204
1524223919.648985,1661,1.0095164775848389
1524223955.912435,1681,1.090049386024475
1524224101.516386,1761,1.0886483192443848
1524224210.446448,1821,1.0935778617858887
1524224246.839918,1841,1.0956488847732544
1524224755.90968,2121,1.1040763854980469
1524224828.443713,2161,0.9982461929321289
1524225518.943764,2541,1.0091451406478882
1524225628.114935,2601,0.9738619923591614
1524225736.931818,2661,0.9485039710998535
1524225773.148421,2681,0.9906390905380249
1524226100.171852,2861,0.9138680696487427
1524227117.675869,3421,0.8623552322387695
1524227263.207706,3501,0.8948878645896912
1524227299.724,3521,0.860161542892456
1524227663.613779,3721,0.8933664560317993
1524227772.330773,3781,0.839423656463623
1524227953.822909,3881,0.8559524416923523
1524227990.031751,3901,0.8599991798400879
1524228752.702413,4321,0.8610870242118835
1524228898.315102,4401,0.7487410306930542
1524228934.765938,4421,0.7538231015205383
1524229043.903625,4481,0.7526552677154541
1524229080.58065,4501,0.763299286365509
1524229261.975988,4601,0.7547110319137573
1524229480.011825,4721,0.7062703967094421
1524229516.399655,4741,0.7684563398361206
1524229552.704153,4761,0.7802187204360962
1524229916.570305,4961,0.7682520151138306
1524230541.45841,5301,0.755363404750824
1524230940.962402,5521,0.7078415751457214
1524231559.494046,5861,0.6744351983070374
1524231740.80343,5961,0.6337794065475464
1524231849.746945,6021,0.6729583144187927
1524231922.32377,6061,0.6810607314109802
1524232358.548154,6301,0.6537594199180603
1524232867.802713,6581,0.6771856546401978
1524232976.608685,6641,0.6084040403366089
1524233340.387931,6841,0.6769841313362122
1524233485.483573,6921,0.6224719285964966
1524233594.36612,6981,0.6801826357841492
1524233921.142601,7161,0.6086478233337402
1524234030.275595,7221,0.6458233594894409
1524234248.426142,7341,0.6332800984382629
1524234284.582866,7361,0.6376475095748901
1524234321.022889,7381,0.6001068353652954
1524234430.171801,7441,0.623020589351654
1524234575.236442,7521,0.6540533304214478
1524234757.099369,7621,0.6137675642967224
1524234902.129103,7701,0.6341840028762817
1524234938.440238,7721,0.6335852146148682
1524235373.409175,7961,0.6382350921630859
1524235555.370919,8061,0.6265249252319336
1524235810.213384,8201,0.6480444073677063
1524235882.810149,8241,0.6221652030944824
1524236392.490572,8521,0.6243821382522583
1524236610.241635,8641,0.6107829809188843
1524236719.154472,8701,0.5938174724578857
1524236864.745887,8781,0.6048591732978821
1524237155.432261,8941,0.6027969717979431
1524237482.866684,9121,0.6430414319038391
1524238873.913465,9881,0.5858349204063416
1524239352.839159,10141,0.5679102540016174
1524239570.95679,10261,0.5719531774520874
1524239607.367859,10281,0.567561686038971
1524239643.592514,10301,0.5643231868743896
1524239752.390885,10361,0.570987343788147
1524239971.09822,10481,0.589923620223999
1524240007.486207,10501,0.5970711708068848
1524240262.251851,10641,0.5646094083786011
1524240552.943627,10801,0.6035357117652893
1524240952.120042,11021,0.5592761039733887
1524240988.552399,11041,0.5638745427131653
1524241025.013401,11061,0.5701371431350708
1524241061.577672,11081,0.5584245324134827
1524241425.276018,11281,0.5816456079483032
1524241716.554704,11441,0.5510905981063843
1524241789.491125,11481,0.5596833825111389
1524241898.715992,11541,0.5540965795516968
1524241935.062159,11561,0.5658802390098572
1524242044.315947,11621,0.5766701698303223
1524242262.482375,11741,0.5613049268722534
1524242335.117178,11781,0.5663906335830688
1524242479.962954,11861,0.576178252696991
1524242843.503832,12061,0.5666424036026001
1524242952.359135,12121,0.5735545754432678
1524243170.081642,12241,0.5677656531333923
1524243279.031706,12301,0.539710283279419
1524243787.323243,12581,0.554434061050415
1524244114.082327,12761,0.5922456979751587
1524244332.246264,12881,0.5475928783416748
1524244550.504986,13001,0.5561988353729248
1524244623.259515,13041,0.5523402690887451
1524244841.699795,13161,0.561734676361084
1524244914.598752,13201,0.5312466025352478
1524244951.121641,13221,0.5479739904403687
1524245060.149606,13281,0.5451454520225525
1524245242.081828,13381,0.5558812022209167
1524245351.53075,13441,0.5647743940353394
1524245642.132796,13601,0.5811570882797241
